Dwelling_ID,LGA_Name,Dwelling_Count
1,Albury,25430
2,Armidale Regional,12955
3,Ballina,20889
4,Balranald,1091
5,Bathurst Regional,18458
6,Bayside (NSW),74840
7,Bega Valley,18867
8,Bellingen,6390
9,Berrigan,4265
10,Blacktown,133984
11,Bland,3107
12,Blayney,3246
13,Blue Mountains,35239
14,Bogan,1306
15,Bourke,1317
16,Brewarrina,740
17,Broken Hill,9591
18,Burwood,16201
19,Byron,16996
20,Cabonne,5895
21,Camden,39601
22,Campbelltown (NSW),63128
23,Canada Bay,39121
24,Canterbury-Bankstown,133438
25,Carrathool,1312
26,Central Coast (NSW),152870
27,Central Darling,1065
28,Cessnock,25812
29,Clarence Valley,26143
30,Cobar,2320
31,Coffs Harbour,34696
32,Coolamon,1974
33,Coonamble,1825
34,Cootamundra-Gundagai Regional,5510
35,Cowra,6267
36,Cumberland,83189
37,Dubbo Regional,22823
38,Dungog,4224
39,Edward River,4252
40,Eurobodalla,24600
41,Fairfield,67658
42,Federation,6546
43,Forbes,4373
44,Georges River,58429
45,Gilgandra,2137
46,Glen Innes Severn,4610
47,Goulburn Mulwaree,14739
48,Greater Hume Shire,4846
49,Griffith,10833
50,Gunnedah,5842
51,Gwydir,2443
52,Hawkesbury,25523
53,Hay,1552
54,Hilltops,9220
55,Hornsby,55952
56,Hunters Hill,5323
57,Inner West,85462
58,Inverell,8137
59,Junee,2519
60,Kempsey,14292
61,Kiama,10785
62,Ku-ring-gai,45894
63,Kyogle,4688
64,Lachlan,3014
65,Lake Macquarie,88908
66,Lane Cove,17340
67,Leeton,4705
68,Lismore,19781
69,Lithgow,10236
70,Liverpool,77895
71,Liverpool Plains,3694
72,Lockhart,1417
73,Maitland,35456
74,Mid-Coast,50474
75,Mid-Western Regional,12262
76,Moree Plains,6230
77,Mosman,13410
78,Murray River,6268
79,Murrumbidgee,1647
80,Muswellbrook,7333
81,Nambucca Valley,10016
82,Narrabri,5997
83,Narrandera,2694
84,Narromine,2851
85,Newcastle,74585
86,North Sydney,39034
87,Northern Beaches,105115
88,Oberon,2828
89,Orange,18706
90,Parkes,6697
91,Parramatta,106654
92,Penrith,81250
93,Port Macquarie-Hastings,40066
94,Port Stephens,35699
95,Queanbeyan-Palerang Regional,26549
96,Randwick,59965
97,Richmond Valley,10692
98,Ryde,55742
99,Shellharbour,29884
100,Shoalhaven,58799
101,Singleton,9838
102,Snowy Monaro Regional,12251
103,Snowy Valleys,7075
104,Strathfield,18287
105,Sutherland Shire,90981
106,Sydney,124114
107,Tamworth Regional,27725
108,Temora,2926
109,Tenterfield,3968
110,The Hills Shire,64080
111,Tweed,44661
112,Upper Hunter Shire,6793
113,Upper Lachlan Shire,4584
114,Uralla,2759
115,Wagga Wagga,28244
116,Walcha,1638
117,Walgett,2865
118,Warren,1228
119,Warrumbungle Shire,4739
120,Waverley,32850
121,Weddin,1869
122,Wentworth,3457
123,Willoughby,31175
124,Wingecarribee,23623
125,Wollondilly,18918
126,Wollongong,89476
127,Woollahra,26588
128,Yass Valley,6823
129,Unincorporated NSW,549
130,Migratory - Offshore - Shipping (NSW),34
131,Alpine,7271
132,Ararat,5509
133,Ballarat,50347
134,Banyule,53031
135,Bass Coast,28981
136,Baw Baw,24522
137,Bayside (Vic.),43102
138,Benalla,7211
139,Boroondara,72924
140,Brimbank,71871
141,Buloke,3397
142,Campaspe,17840
143,Cardinia,43533
144,Casey,122674
145,Central Goldfields,7004
146,Colac Otway,12460
147,Corangamite,7897
148,Darebin,68366
149,East Gippsland,26078
150,Frankston,58890
151,Gannawarra,5326
152,Glen Eira,66235
153,Glenelg,10173
154,Golden Plains,9408
155,Greater Bendigo,53173
156,Greater Dandenong,58198
157,Greater Geelong,120823
158,Greater Shepparton,28885
159,Hepburn,9511
160,Hindmarsh,3110
161,Hobsons Bay,39336
162,Horsham,9638
163,Hume,83980
164,Indigo,7750
165,Kingston (Vic.),67622
166,Knox,62012
167,Latrobe (Vic.),35685
168,Loddon,4323
169,Macedon Ranges,20630
170,Manningham,49918
171,Mansfield,6619
172,Maribyrnong,40501
173,Maroondah,46937
174,Melbourne,103368
175,Melton,60363
176,Mildura,25371
177,Mitchell,19590
178,Moira,14948
179,Monash,76463
180,Moonee Valley,55115
181,Moorabool,15473
182,Moreland,78310
183,Mornington Peninsula,93602
184,Mount Alexander,10141
185,Moyne,8550
186,Murrindindi,8349
187,Nillumbik,22406
188,Northern Grampians,6253
189,Port Phillip,63301
190,Pyrenees,3939
191,Queenscliffe,2902
192,South Gippsland,17145
193,Southern Grampians,8292
194,Stonnington,59609
195,Strathbogie,6164
196,Surf Coast,20678
197,Swan Hill,9554
198,Towong,3125
199,Wangaratta,13677
200,Warrnambool,16025
201,Wellington,23554
202,West Wimmera,2255
203,Whitehorse,71712
204,Whittlesea,82993
205,Wodonga,18214
206,Wyndham,100363
207,Yarra,50059
208,Yarra Ranges,61574
209,Yarriambiack,3598
210,Unincorporated Vic,1054
211,Migratory - Offshore - Shipping (Vic.),49
212,Aurukun,343
213,Balonne,2283
214,Banana,7247
215,Barcaldine,1896
216,Barcoo,267
217,Blackall Tambo,1152
218,Boulia,307
219,Brisbane,519431
220,Bulloo,230
221,Bundaberg,46081
222,Burdekin,8259
223,Burke,546
224,Cairns,72620
225,Carpentaria,1639
226,Cassowary Coast,15123
227,Central Highlands (Qld),14180
228,Charters Towers,5974
229,Cherbourg,332
230,Cloncurry,2123
231,Cook,3163
232,Croydon,214
233,Diamantina,228
234,Doomadgee,376
235,Douglas,6981
236,Etheridge,750
237,Flinders (Qld),992
238,Fraser Coast,52621
239,Gladstone,29868
240,Gold Coast,270761
241,Goondiwindi,4857
242,Gympie,24767
243,Hinchinbrook,6030
244,Hope Vale,348
245,Ipswich,87352
246,Isaac,11014
247,Kowanyama,308
248,Livingstone,17841
249,Lockhart River,228
250,Lockyer Valley,16162
251,Logan,125977
252,Longreach,2169
253,Mackay,52308
254,McKinlay,497
255,Mapoon,151
256,Maranoa,6510
257,Mareeba,10199
258,Moreton Bay,188327
259,Mornington,373
260,Mount Isa,9053
261,Murweh,2269
262,Napranum,265
263,Noosa,28715
264,North Burnett,5494
265,Northern Peninsula Area,1100
266,Palm Island,562
267,Paroo,1173
268,Pormpuraaw,253
269,Quilpie,507
270,Redland,65216
271,Richmond,438
272,Rockhampton,35813
273,Scenic Rim,18468
274,Somerset,11020
275,South Burnett,16096
276,Southern Downs,17447
277,Sunshine Coast,149005
278,Tablelands,13184
279,Toowoomba,74054
280,Torres,1349
281,Torres Strait Island,1357
282,Townsville,83412
283,Weipa,1839
284,Western Downs,16165
285,Whitsunday,18043
286,Winton,872
287,Woorabinda,316
288,Wujal Wujal,93
289,Yarrabah,524
290,Migratory - Offshore - Shipping (Qld),98
291,Adelaide,14766
292,Adelaide Hills,16270
293,Adelaide Plains,4006
294,Alexandrina,16760
295,Anangu Pitjantjatjara Yunkunytjatjara,778
296,Barossa,11044
297,Barunga West,1928
298,Berri Barmera,5257
299,Burnside,19630
300,Campbelltown (SA),23247
301,Ceduna,1909
302,Charles Sturt,54847
303,Clare and Gilbert Valleys,4678
304,Cleve,975
305,Coober Pedy,1481
306,Copper Coast,9242
307,Elliston,849
308,Flinders Ranges,1084
309,Franklin Harbour,876
310,Gawler,11126
311,Goyder,2371
312,Grant,3745
313,Holdfast Bay,18707
314,Kangaroo Island,3350
315,Karoonda East Murray,610
316,Kimba,616
317,Kingston (SA),1733
318,Light,6046
319,Lower Eyre Peninsula,3028
320,Loxton Waikerie,5787
321,Maralinga Tjarutja,41
322,Marion,41654
323,Mid Murray,7413
324,Mitcham,27169
325,Mount Barker,16054
326,Mount Gambier,12789
327,Mount Remarkable,1866
328,Murray Bridge,10164
329,Naracoorte Lucindale,4076
330,Northern Areas,2424
331,Norwood Payneham and St Peters,18126
332,Onkaparinga,75493
333,Orroroo Carrieton,541
334,Peterborough,1073
335,Playford,39505
336,Port Adelaide Enfield,56716
337,Port Augusta,7015
338,Port Lincoln,6970
339,Port Pirie,8589
340,Prospect,9474
