Location_ID,State,SA4_Name,LGA_Name,Remoteness_Category
1,NSW,Riverina,Wagga Wagga,Inner Regional Australia
2,NSW,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Inner Regional Australia
3,Tas,Launceston and North East,Northern Midlands,Inner Regional Australia
4,NSW,New England and North West,Armidale Regional,Outer Regional Australia
5,Vic,,,Unknown
6,Qld,Toowoomba,Lockyer Valley,Inner Regional Australia
7,SA,Barossa - Yorke - Mid North,Wakefield,Outer Regional Australia
8,WA,,,Unknown
9,Qld,Darling Downs - Maranoa,Southern Downs,Inner Regional Australia
10,Tas,Hobart,Brighton,Inner Regional Australia
11,Tas,Launceston and North East,West Tamar,Outer Regional Australia
12,SA,South Australia - South East,Mid Murray,Outer Regional Australia
13,NSW,Sydney - Outer West and Blue Mountains,Blue Mountains,Major Cities of Australia
14,NSW,Capital Region,Upper Lachlan,Inner Regional Australia
15,SA,South Australia - South East,Wattle Range,Outer Regional Australia
16,Qld,Cairns,Cairns,Outer Regional Australia
17,ACT,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia
18,NSW,Illawarra,Wollongong,Major Cities of Australia
19,NSW,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia
20,NSW,Hunter Valley exc Newcastle,Upper Hunter,Outer Regional Australia
21,Qld,Wide Bay,South Burnett,Outer Regional Australia
22,NSW,Central West,Mid-Western Regional,Outer Regional Australia
23,NSW,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia
24,NT,,,Unknown
25,Vic,Hume,Mitchell,Inner Regional Australia
26,NSW,Murray,Greater Hume,Outer Regional Australia
27,Qld,Darling Downs - Maranoa,Southern Downs,Outer Regional Australia
28,SA,Barossa - Yorke - Mid North,Barossa,Inner Regional Australia
29,NSW,Mid North Coast,Port Macquarie-Hastings,Inner Regional Australia
30,Qld,Cairns,Douglas,Outer Regional Australia
31,Qld,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia
32,SA,South Australia - South East,Yankalilla,Inner Regional Australia
33,Qld,Logan - Beaudesert,Logan,Major Cities of Australia
34,Tas,Launceston and North East,Dorset,Outer Regional Australia
35,NSW,New England and North West,Armidale Regional,Inner Regional Australia
36,NSW,Mid North Coast,Nambucca Valley,Inner Regional Australia
37,NSW,Far West and Orana,Narromine,Outer Regional Australia
38,Qld,Wide Bay,Fraser Coast,Inner Regional Australia
39,SA,South Australia - Outback,Unincorporated SA,Very Remote Australia
40,NSW,Illawarra,Shellharbour,Major Cities of Australia
41,NSW,New England and North West,Narrabri,Outer Regional Australia
42,Qld,Logan - Beaudesert,Logan,Inner Regional Australia
43,Qld,Queensland - Outback,Cook,Remote Australia
44,NSW,New England and North West,Tenterfield,Outer Regional Australia
45,Vic,Bendigo,Greater Bendigo,Inner Regional Australia
46,NSW,Central Coast,Central Coast,Major Cities of Australia
47,NSW,New England and North West,Tamworth Regional,Outer Regional Australia
48,Vic,Melbourne - North East,Whittlesea,Major Cities of Australia
49,NSW,Capital Region,Hilltops,Inner Regional Australia
50,NSW,Central West,Forbes,Outer Regional Australia
51,Qld,Toowoomba,Toowoomba,Inner Regional Australia
52,NSW,Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia
53,Qld,Central Queensland,Livingstone,Remote Australia
54,Tas,Launceston and North East,Northern Midlands,Outer Regional Australia
55,NSW,Sydney - Blacktown,Blacktown,Major Cities of Australia
56,NSW,Far West and Orana,Dubbo Regional,Inner Regional Australia
57,NSW,Murray,Balranald,Outer Regional Australia
58,Qld,Queensland - Outback,Lockhart River,Very Remote Australia
59,Vic,Ballarat,Golden Plains,Inner Regional Australia
60,SA,Barossa - Yorke - Mid North,Light,Inner Regional Australia
61,Qld,Ipswich,Ipswich,Major Cities of Australia
62,Qld,Cairns,Cassowary Coast,Outer Regional Australia
63,SA,South Australia - Outback,Tumby Bay,Remote Australia
64,NSW,Sydney - South West,Liverpool,Major Cities of Australia
65,NSW,Sydney - Parramatta,Cumberland,Major Cities of Australia
66,NSW,Hunter Valley exc Newcastle,Muswellbrook,Inner Regional Australia
67,Qld,Moreton Bay - North,Moreton Bay,Inner Regional Australia
68,NSW,Richmond - Tweed,Ballina,Inner Regional Australia
69,NSW,Richmond - Tweed,Kyogle,Inner Regional Australia
70,Qld,Wide Bay,Bundaberg,Inner Regional Australia
71,Vic,Melbourne - Inner,Melbourne,Major Cities of Australia
72,Qld,Brisbane - South,Brisbane,Major Cities of Australia
73,NSW,Riverina,Snowy Valleys,Outer Regional Australia
74,Qld,Mackay - Isaac - Whitsunday,Whitsunday,Outer Regional Australia
75,NSW,Sydney - South West,Fairfield,Major Cities of Australia
76,NSW,Capital Region,Yass Valley,Inner Regional Australia
77,Qld,Central Queensland,Central Highlands (Qld),Remote Australia
78,NSW,Sydney - Baulkham Hills and Hawkesbury,The Hills,Major Cities of Australia
79,SA,Adelaide - North,Salisbury,Major Cities of Australia
80,NSW,Hunter Valley exc Newcastle,Port Stephens,Inner Regional Australia
81,Vic,Melbourne - North West,Macedon Ranges,Inner Regional Australia
82,Vic,Warrnambool and South West,Moyne,Inner Regional Australia
83,Vic,Melbourne - South East,Cardinia,Major Cities of Australia
84,Vic,Latrobe - Gippsland,East Gippsland,Outer Regional Australia
85,NSW,Sydney - Baulkham Hills and Hawkesbury,Hornsby,Major Cities of Australia
86,Qld,Queensland - Outback,Mareeba,Very Remote Australia
87,Qld,Central Queensland,Rockhampton,Inner Regional Australia
88,NSW,Mid North Coast,Mid-Coast,Inner Regional Australia
89,Qld,Ipswich,Ipswich,Inner Regional Australia
90,Vic,Warrnambool and South West,Glenelg,Outer Regional Australia
91,Qld,Darling Downs - Maranoa,Western Downs,Outer Regional Australia
92,SA,Adelaide - West,Port Adelaide Enfield,Major Cities of Australia
93,NSW,Central West,Cabonne,Outer Regional Australia
94,Qld,Gold Coast,Gold Coast,Major Cities of Australia
95,Vic,Mornington Peninsula,Frankston,Major Cities of Australia
96,NSW,New England and North West,Moree Plains,Outer Regional Australia
97,NSW,Sydney - Parramatta,Parramatta,Major Cities of Australia
98,Tas,Launceston and North East,Meander Valley,Outer Regional Australia
99,NSW,Capital Region,Queanbeyan-Palerang Regional,Major Cities of Australia
100,NSW,Capital Region,Snowy Monaro Regional,Outer Regional Australia
101,NSW,Murray,Federation,Outer Regional Australia
102,ACT,,,Unknown
103,Qld,Brisbane Inner City,Brisbane,Major Cities of Australia
104,NSW,Central West,Cowra,Inner Regional Australia
105,NSW,Capital Region,Goulburn Mulwaree,Inner Regional Australia
106,Qld,Wide Bay,Gympie,Inner Regional Australia
107,Qld,Moreton Bay - South,Moreton Bay,Major Cities of Australia
108,NSW,Sydney - North Sydney and Hornsby,Willoughby,Major Cities of Australia
109,NSW,Capital Region,Shoalhaven,Inner Regional Australia
110,NSW,Capital Region,Queanbeyan-Palerang Regional,Inner Regional Australia
111,Vic,Melbourne - North East,Nillumbik,Inner Regional Australia
112,NSW,Illawarra,Wollongong,Inner Regional Australia
113,Qld,Wide Bay,South Burnett,Inner Regional Australia
114,SA,South Australia - South East,Tatiara,Remote Australia
115,NSW,Richmond - Tweed,Tweed,Inner Regional Australia
116,NSW,Mid North Coast,Mid-Coast,Outer Regional Australia
117,Vic,North West,Ararat,Inner Regional Australia
118,Vic,Warrnambool and South West,Colac Otway,Inner Regional Australia
119,Qld,Queensland - Outback,McKinlay,Very Remote Australia
120,NSW,Hunter Valley exc Newcastle,Singleton,Inner Regional Australia
121,Qld,Central Queensland,Gladstone,Outer Regional Australia
122,NSW,Central West,Lithgow,Inner Regional Australia
123,NSW,Sydney - Outer South West,Campbelltown,Major Cities of Australia
124,Qld,Sunshine Coast,Sunshine Coast,Major Cities of Australia
125,NSW,Far West and Orana,Warrumbungle,Outer Regional Australia
126,Qld,Sunshine Coast,Noosa,Major Cities of Australia
127,NSW,Newcastle and Lake Macquarie,Port Stephens,Major Cities of Australia
128,Qld,Moreton Bay - North,Moreton Bay,Major Cities of Australia
129,SA,Adelaide - North,Gawler,Major Cities of Australia
130,Vic,Hume,Alpine,Inner Regional Australia
131,NSW,Central West,Cabonne,Inner Regional Australia
132,Qld,Ipswich,Brisbane,Major Cities of Australia
133,Vic,Latrobe - Gippsland,Baw Baw,Inner Regional Australia
134,Qld,Mackay - Isaac - Whitsunday,Isaac,Remote Australia
135,Qld,Darling Downs - Maranoa,Maranoa,Remote Australia
136,Vic,Warrnambool and South West,Southern Grampians,Outer Regional Australia
137,NSW,Hunter Valley exc Newcastle,Cessnock,Inner Regional Australia
138,Qld,Logan - Beaudesert,Scenic Rim,Inner Regional Australia
139,Qld,Ipswich,Somerset,Inner Regional Australia
140,Qld,Townsville,Hinchinbrook,Remote Australia
141,Qld,Mackay - Isaac - Whitsunday,Mackay,Inner Regional Australia
142,Vic,Melbourne - Inner South,Stonnington,Major Cities of Australia
143,SA,Adelaide - North,Playford,Major Cities of Australia
144,NSW,Far West and Orana,Cobar,Very Remote Australia
145,Vic,North West,Ararat,Outer Regional Australia
146,SA,Adelaide - Central and Hills,Adelaide Hills,Inner Regional Australia
147,NSW,Capital Region,Bega Valley,Outer Regional Australia
148,SA,Adelaide - North,Tea Tree Gully,Major Cities of Australia
149,NSW,Illawarra,Kiama,Inner Regional Australia
150,Vic,Warrnambool and South West,Moyne,Outer Regional Australia
151,NSW,Sydney - Outer South West,Wollondilly,Inner Regional Australia
152,Qld,Ipswich,Scenic Rim,Inner Regional Australia
153,Vic,Melbourne - South East,Casey,Major Cities of Australia
154,SA,Barossa - Yorke - Mid North,Northern Areas,Outer Regional Australia
155,Qld,Cairns,Tablelands,Outer Regional Australia
156,NSW,Sydney - City and Inner South,Sydney,Major Cities of Australia
157,Vic,Hume,Murrindindi,Inner Regional Australia
158,NSW,Murray,Albury,Inner Regional Australia
159,Vic,Melbourne - Inner East,Boroondara,Major Cities of Australia
160,Qld,Brisbane - East,Redland,Major Cities of Australia
161,SA,Adelaide - North,Playford,Inner Regional Australia
162,Vic,Latrobe - Gippsland,South Gippsland,Inner Regional Australia
163,Qld,Townsville,Hinchinbrook,Outer Regional Australia
164,Vic,Melbourne - Outer East,Yarra Ranges,Inner Regional Australia
165,Vic,Geelong,Surf Coast,Inner Regional Australia
166,SA,Adelaide - Central and Hills,Mount Barker,Inner Regional Australia
167,Qld,Brisbane - East,Brisbane,Major Cities of Australia
168,NSW,Hunter Valley exc Newcastle,Cessnock,Major Cities of Australia
169,NSW,Hunter Valley exc Newcastle,Maitland,Inner Regional Australia
170,Tas,Hobart,Hobart,Inner Regional Australia
171,SA,Adelaide - South,Mitcham,Major Cities of Australia
172,NSW,Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia
173,SA,Adelaide - Central and Hills,Adelaide,Major Cities of Australia
174,Tas,,Clarence,Inner Regional Australia
175,NSW,Richmond - Tweed,Lismore,Inner Regional Australia
176,Vic,Shepparton,Greater Shepparton,Inner Regional Australia
177,Vic,Melbourne - North West,Moreland,Major Cities of Australia
178,NSW,Riverina,Narrandera,Outer Regional Australia
179,Tas,South East,Huon Valley,Outer Regional Australia
180,Qld,Townsville,Townsville,Outer Regional Australia
181,NSW,Riverina,Griffith,Outer Regional Australia
182,Vic,Hume,Wodonga,Inner Regional Australia
183,NSW,Hunter Valley exc Newcastle,Mid-Coast,Inner Regional Australia
184,Vic,Melbourne - Inner,Darebin,Major Cities of Australia
185,Vic,Ballarat,Ballarat,Inner Regional Australia
186,NSW,Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia
187,Vic,Melbourne - South East,Cardinia,Inner Regional Australia
188,Vic,Melbourne - Outer East,Maroondah,Major Cities of Australia
189,NSW,Richmond - Tweed,Tweed,Major Cities of Australia
190,Qld,Wide Bay,North Burnett,Outer Regional Australia
191,NSW,New England and North West,Moree Plains,Remote Australia
192,Vic,Mornington Peninsula,Mornington Peninsula,Major Cities of Australia
193,SA,Adelaide - Central and Hills,Unley,Major Cities of Australia
194,SA,South Australia - South East,Alexandrina,Inner Regional Australia
195,Qld,Wide Bay,Gympie,Outer Regional Australia
196,Vic,Melbourne - West,Melton,Major Cities of Australia
197,Qld,Townsville,Burdekin,Outer Regional Australia
198,Vic,Melbourne - Outer East,Knox,Major Cities of Australia
199,Vic,Melbourne - North East,Whittlesea,Inner Regional Australia
