Person_ID,Age,Age_Group,Remoteness
1,74,65_to_74,Inner Regional Australia
2,19,17_to_25,Inner Regional Australia
3,33,26_to_39,Inner Regional Australia
4,32,26_to_39,Outer Regional Australia
5,62,40_to_64,Unknown
6,61,40_to_64,Inner Regional Australia
7,47,40_to_64,Outer Regional Australia
8,69,65_to_74,Unknown
9,29,26_to_39,Inner Regional Australia
10,55,40_to_64,Outer Regional Australia
11,45,40_to_64,Outer Regional Australia
12,50,40_to_64,Major Cities of Australia
13,45,40_to_64,Inner Regional Australia
14,61,40_to_64,Outer Regional Australia
15,29,26_to_39,Unknown
16,33,26_to_39,Unknown
17,74,65_to_74,Outer Regional Australia
18,75,75_or_older,Major Cities of Australia
19,25,17_to_25,Major Cities of Australia
20,4,0_to_16,Major Cities of Australia
21,27,26_to_39,Outer Regional Australia
22,66,65_to_74,Outer Regional Australia
23,26,26_to_39,Unknown
24,65,65_to_74,Major Cities of Australia
25,60,40_to_64,Unknown
26,18,17_to_25,Unknown
27,41,40_to_64,Unknown
28,45,40_to_64,Unknown
29,42,40_to_64,Inner Regional Australia
30,25,17_to_25,Outer Regional Australia
31,22,17_to_25,Unknown
32,21,17_to_25,Unknown
33,38,26_to_39,Unknown
34,69,65_to_74,Inner Regional Australia
35,59,40_to_64,Outer Regional Australia
36,68,65_to_74,Outer Regional Australia
37,66,65_to_74,Unknown
38,51,40_to_64,Unknown
39,76,75_or_older,Outer Regional Australia
40,35,26_to_39,Outer Regional Australia
41,55,40_to_64,Inner Regional Australia
42,63,40_to_64,Major Cities of Australia
43,64,40_to_64,Unknown
44,30,26_to_39,Inner Regional Australia
45,34,26_to_39,Inner Regional Australia
46,27,26_to_39,Unknown
47,26,26_to_39,Outer Regional Australia
48,46,40_to_64,Inner Regional Australia
49,50,40_to_64,Very Remote Australia
50,85,75_or_older,Major Cities of Australia
51,92,75_or_older,Major Cities of Australia
52,60,40_to_64,Inner Regional Australia
53,89,75_or_older,Unknown
54,26,26_to_39,Inner Regional Australia
55,60,40_to_64,Remote Australia
56,59,40_to_64,Remote Australia
57,77,75_or_older,Unknown
58,63,40_to_64,Inner Regional Australia
59,90,75_or_older,Major Cities of Australia
60,31,26_to_39,Unknown
61,24,17_to_25,Major Cities of Australia
62,49,40_to_64,Inner Regional Australia
63,21,17_to_25,Outer Regional Australia
64,16,0_to_16,Inner Regional Australia
65,22,17_to_25,Inner Regional Australia
66,24,17_to_25,Unknown
67,21,17_to_25,Major Cities of Australia
68,43,40_to_64,Unknown
69,23,17_to_25,Remote Australia
70,80,75_or_older,Major Cities of Australia
71,-9,-9,Inner Regional Australia
72,76,75_or_older,Unknown
73,23,17_to_25,Outer Regional Australia
74,67,65_to_74,Unknown
75,64,40_to_64,Outer Regional Australia
76,17,17_to_25,Very Remote Australia
77,35,26_to_39,Inner Regional Australia
78,71,65_to_74,Inner Regional Australia
79,41,40_to_64,Major Cities of Australia
80,54,40_to_64,Major Cities of Australia
81,18,17_to_25,Major Cities of Australia
82,24,17_to_25,Inner Regional Australia
83,38,26_to_39,Inner Regional Australia
84,97,75_or_older,Inner Regional Australia
85,46,40_to_64,Unknown
86,83,75_or_older,Inner Regional Australia
87,32,26_to_39,Unknown
88,74,65_to_74,Unknown
89,36,26_to_39,Inner Regional Australia
90,70,65_to_74,Outer Regional Australia
91,29,26_to_39,Major Cities of Australia
92,39,26_to_39,Unknown
93,26,26_to_39,Major Cities of Australia
94,43,40_to_64,Outer Regional Australia
95,25,17_to_25,Unknown
96,52,40_to_64,Outer Regional Australia
97,22,17_to_25,Major Cities of Australia
98,53,40_to_64,Inner Regional Australia
99,44,40_to_64,Remote Australia
100,57,40_to_64,Inner Regional Australia
101,47,40_to_64,Unknown
102,18,17_to_25,Outer Regional Australia
103,53,40_to_64,Major Cities of Australia
104,25,17_to_25,Inner Regional Australia
105,44,40_to_64,Inner Regional Australia
106,64,40_to_64,Inner Regional Australia
107,17,17_to_25,Inner Regional Australia
108,43,40_to_64,Inner Regional Australia
109,71,65_to_74,Major Cities of Australia
110,69,65_to_74,Outer Regional Australia
111,87,75_or_older,Inner Regional Australia
112,58,40_to_64,Major Cities of Australia
113,45,40_to_64,Major Cities of Australia
114,38,26_to_39,Major Cities of Australia
115,15,0_to_16,Inner Regional Australia
116,81,75_or_older,Unknown
117,27,26_to_39,Very Remote Australia
118,47,40_to_64,Inner Regional Australia
119,40,40_to_64,Unknown
120,56,40_to_64,Unknown
121,42,40_to_64,Unknown
122,78,75_or_older,Inner Regional Australia
123,76,75_or_older,Inner Regional Australia
124,23,17_to_25,Inner Regional Australia
125,28,26_to_39,Unknown
126,63,40_to_64,Unknown
127,78,75_or_older,Outer Regional Australia
128,29,26_to_39,Outer Regional Australia
129,37,26_to_39,Outer Regional Australia
130,57,40_to_64,Unknown
131,42,40_to_64,Outer Regional Australia
132,15,0_to_16,Major Cities of Australia
133,60,40_to_64,Outer Regional Australia
134,57,40_to_64,Outer Regional Australia
135,30,26_to_39,Major Cities of Australia
136,36,26_to_39,Outer Regional Australia
137,48,40_to_64,Major Cities of Australia
138,54,40_to_64,Unknown
139,68,65_to_74,Inner Regional Australia
140,66,65_to_74,Major Cities of Australia
141,65,65_to_74,Inner Regional Australia
142,19,17_to_25,Outer Regional Australia
143,20,17_to_25,Inner Regional Australia
144,35,26_to_39,Major Cities of Australia
145,28,26_to_39,Major Cities of Australia
146,70,65_to_74,Inner Regional Australia
147,31,26_to_39,Inner Regional Australia
148,62,40_to_64,Major Cities of Australia
149,69,65_to_74,Major Cities of Australia
150,51,40_to_64,Major Cities of Australia
151,37,26_to_39,Inner Regional Australia
152,16,0_to_16,Unknown
153,66,65_to_74,Inner Regional Australia
154,31,26_to_39,Outer Regional Australia
155,23,17_to_25,Unknown
156,56,40_to_64,Inner Regional Australia
157,82,75_or_older,Inner Regional Australia
158,43,40_to_64,Remote Australia
159,56,40_to_64,Major Cities of Australia
160,75,75_or_older,Inner Regional Australia
161,32,26_to_39,Major Cities of Australia
162,40,40_to_64,Very Remote Australia
163,96,75_or_older,Unknown
164,20,17_to_25,Unknown
165,40,40_to_64,Outer Regional Australia
166,13,0_to_16,Outer Regional Australia
167,12,0_to_16,Unknown
168,37,26_to_39,Major Cities of Australia
169,30,26_to_39,Unknown
170,81,75_or_older,Inner Regional Australia
171,80,75_or_older,Inner Regional Australia
172,21,17_to_25,Inner Regional Australia
173,39,26_to_39,Outer Regional Australia
174,27,26_to_39,Major Cities of Australia
175,54,40_to_64,Outer Regional Australia
176,17,17_to_25,Outer Regional Australia
177,19,17_to_25,Major Cities of Australia
