Population_ID,LGA_Name,Population
1,Albury,56067
2,Armidale,29332
3,Ballina,46196
4,Balranald,2208
5,Bathurst,43674
6,Bayside (NSW),176229
7,Bega Valley,35770
8,Bellingen,13203
9,Berrigan,8615
10,Blacktown,399925
11,Bland,5544
12,Blayney,7511
13,Blue Mountains,78372
14,Bogan,2480
15,Bourke,2416
16,Brewarrina,1487
17,Broken Hill,17662
18,Burwood,40440
19,Byron,36106
20,Cabonne,13767
21,Camden,120083
22,Campbelltown (NSW),177778
23,Canada Bay,89685
24,Canterbury-Bankstown,372459
25,Carrathool,2873
26,Central Coast (NSW),348493
27,Central Darling,1758
28,Cessnock,64120
29,Clarence Valley,54212
30,Cobar,4098
31,Coffs Harbour,78781
32,Coolamon,4403
33,Coonamble,3833
34,Cootamundra-Gundagai,11390
35,Cowra,12759
36,Cumberland,237083
37,Dubbo,55528
38,Dungog,9532
39,Edward River,8437
40,Eurobodalla,40464
41,Fairfield,209066
42,Federation,12822
43,Forbes,9385
44,Georges River,152800
45,Gilgandra,4318
46,Glen Innes Severn,8925
47,Goulburn Mulwaree,32150
48,Greater Hume,11109
49,Griffith,27195
50,Gunnedah,13088
51,Gwydir,4912
52,Hawkesbury,67605
53,Hay,2885
54,Hilltops,19223
55,Hornsby,152263
56,Hunters Hill,13596
57,Inner West,183839
58,Inverell,17920
59,Junee,6454
60,Kempsey,30828
61,Kiama,22970
62,Ku-ring-gai,124703
63,Kyogle,9346
64,Lachlan,6153
65,Lake Macquarie,214054
66,Lane Cove,39608
67,Leeton,11480
68,Lismore,44361
69,Lithgow,20855
70,Liverpool,234505
71,Liverpool Plains,7608
72,Lockhart,3328
73,Maitland,90612
74,Mid-Coast,96475
75,Mid-Western,25714
76,Moree Plains,12964
77,Mosman,28466
78,Murray River,12785
79,Murrumbidgee,3564
80,Muswellbrook,16469
81,Nambucca Valley,20382
82,Narrabri,12808
83,Narrandera,5733
84,Narromine,6448
85,Newcastle,169433
86,North Sydney,69471
87,Northern Beaches,264567
88,Oberon,5567
89,Orange,43750
90,Parkes,14451
91,Parramatta,258527
92,Penrith,219239
93,Port Macquarie-Hastings,86638
94,Port Stephens,75328
95,Queanbeyan-Palerang,63404
96,Randwick,135219
97,Richmond Valley,23595
98,Ryde,129813
99,Shellharbour,76492
100,Shoalhaven,108550
101,Singleton,24725
102,Snowy Monaro,21667
103,Snowy Valleys,14900
104,Strathfield,45963
105,Sutherland,230994
106,Sydney,214703
107,Tamworth,63670
108,Temora,6013
109,Tenterfield,6800
110,The Hills,192660
111,Tweed,97216
112,Upper Hunter,14258
113,Upper Lachlan,8494
114,Uralla,5992
115,Wagga Wagga,67891
116,Walcha,3019
117,Walgett,5588
118,Warren,2584
119,Warrumbungle,9256
120,Waverley,69397
121,Weddin,3592
122,Wentworth,7490
123,Willoughby,76044
124,Wingecarribee,52489
125,Wollondilly,54196
126,Wollongong,214700
127,Woollahra,53910
128,Yass Valley,17240
129,Unincorporated NSW,1020
130,Alpine,13166
131,Ararat,11827
132,Ballarat,113504
133,Banyule,127370
134,Bass Coast,40675
135,Baw Baw,57618
136,Bayside (Vic.),102328
137,Benalla,14436
138,Boroondara,169789
139,Brimbank,196631
140,Buloke,6132
141,Campaspe,38556
142,Cardinia,119573
143,Casey,369558
144,Central Goldfields,13388
145,Colac Otway,22309
146,Corangamite,16030
147,Darebin,150296
148,East Gippsland,48477
149,Frankston,140824
150,Gannawarra,10615
151,Glen Eira,150638
152,Glenelg,20058
153,Golden Plains,24892
154,Greater Bendigo,121272
155,Greater Dandenong,160100
156,Greater Geelong,270932
157,Greater Shepparton,68526
158,Hepburn,16485
159,Hindmarsh,5656
160,Hobsons Bay,92267
161,Horsham,20376
162,Hume,246920
163,Indigo,17251
164,Kingston (Vic.),159554
165,Knox,160481
166,Latrobe (Vic.),77117
167,Loddon,7703
168,Macedon Ranges,51599
169,Manningham,125821
170,Mansfield,10121
171,Maribyrnong,86385
172,Maroondah,116075
173,Melbourne,153110
174,Melton,181346
175,Merri-bek,173500
176,Mildura,56966
177,Mitchell,49712
178,Moira,30367
179,Monash,192893
180,Moonee Valley,122950
181,Moorabool,37910
182,Mornington Peninsula,170440
183,Mount Alexander,20114
184,Moyne,17296
185,Murrindindi,15139
186,Nillumbik,63450
187,Northern Grampians,11886
188,Port Phillip,103438
189,Pyrenees,7619
190,Queenscliffe,3236
191,South Gippsland,30388
192,Southern Grampians,16492
193,Stonnington,106190
194,Strathbogie,11368
195,Surf Coast,37648
196,Swan Hill,21381
197,Towong,6186
198,Wangaratta,29751
199,Warrnambool,35433
200,Wellington,45469
201,West Wimmera,3978
202,Whitehorse,171077
203,Whittlesea,231831
204,Wodonga,43207
205,Wyndham,296322
206,Yarra,91521
207,Yarra Ranges,157421
208,Yarriambiack,6510
209,Unincorporated Vic,946
210,Aurukun,1130
211,Balonne,4378
212,Banana,14657
213,Barcaldine,2863
214,Barcoo,312
215,Blackall Tambo,1918
216,Boulia,470
217,Brisbane,1262968
218,Bulloo,342
219,Bundaberg,100095
220,Burdekin,16836
221,Burke,430
