Date_ID,Year,Month,Dayweek,Time,Time of Day
1,2024,12,Friday,4,Night
2,2024,12,Friday,6,Day
3,2024,12,Friday,9,Day
4,2024,12,Friday,10,Day
5,2024,12,Friday,11,Day
6,2024,12,Friday,13,Day
7,2024,12,Friday,17,Day
8,2024,12,Friday,19,Night
9,2024,12,Friday,22,Night
10,2024,12,Friday,23,Night
11,2024,12,Monday,1,Night
12,2024,12,Monday,2,Night
13,2024,12,Monday,9,Day
14,2024,12,Monday,10,Day
15,2024,12,Monday,12,Day
16,2024,12,Monday,13,Day
17,2024,12,Monday,14,Day
18,2024,12,Monday,15,Day
19,2024,12,Monday,16,Day
20,2024,12,Monday,19,Night
21,2024,12,Monday,20,Night
22,2024,12,Monday,21,Night
23,2024,12,Saturday,2,Night
24,2024,12,Saturday,3,Night
25,2024,12,Saturday,4,Night
26,2024,12,Saturday,8,Day
27,2024,12,Saturday,10,Day
28,2024,12,Saturday,11,Day
29,2024,12,Saturday,12,Day
30,2024,12,Saturday,14,Day
31,2024,12,Saturday,15,Day
32,2024,12,Saturday,16,Day
33,2024,12,Saturday,20,Night
34,2024,12,Saturday,21,Night
35,2024,12,Saturday,22,Night
36,2024,12,Sunday,2,Night
37,2024,12,Sunday,4,Night
38,2024,12,Sunday,6,Day
39,2024,12,Sunday,8,Day
40,2024,12,Sunday,11,Day
41,2024,12,Sunday,12,Day
42,2024,12,Sunday,13,Day
43,2024,12,Sunday,14,Day
44,2024,12,Sunday,16,Day
45,2024,12,Sunday,17,Day
46,2024,12,Sunday,18,Night
47,2024,12,Sunday,22,Night
48,2024,12,Sunday,23,Night
49,2024,12,Thursday,1,Night
50,2024,12,Thursday,9,Day
51,2024,12,Thursday,12,Day
52,2024,12,Thursday,15,Day
53,2024,12,Thursday,16,Day
54,2024,12,Thursday,17,Day
55,2024,12,Thursday,22,Night
56,2024,12,Tuesday,4,Night
57,2024,12,Tuesday,6,Day
58,2024,12,Tuesday,8,Day
59,2024,12,Tuesday,11,Day
60,2024,12,Tuesday,13,Day
61,2024,12,Tuesday,14,Day
62,2024,12,Tuesday,15,Day
63,2024,12,Tuesday,17,Day
64,2024,12,Tuesday,18,Night
65,2024,12,Tuesday,21,Night
66,2024,12,Tuesday,22,Night
67,2024,12,Tuesday,23,Night
68,2024,12,Wednesday,0,Night
69,2024,12,Wednesday,4,Night
70,2024,12,Wednesday,12,Day
71,2024,12,Wednesday,16,Day
72,2024,12,Wednesday,17,Day
73,2024,12,Wednesday,19,Night
74,2024,11,Friday,2,Night
75,2024,11,Friday,4,Night
76,2024,11,Friday,7,Day
77,2024,11,Friday,9,Day
78,2024,11,Friday,10,Day
79,2024,11,Friday,12,Day
80,2024,11,Friday,13,Day
81,2024,11,Friday,14,Day
82,2024,11,Friday,17,Day
83,2024,11,Friday,18,Night
84,2024,11,Friday,20,Night
85,2024,11,Friday,21,Night
86,2024,11,Friday,22,Night
