LGA_Name,Population_2021,Dwelling_Count_2021
Albury,56067,25430
Armidale Regional,29332,12955
Ballina,46196,20889
Balranald,2208,1091
Bathurst Regional,43674,18458
Bayside (NSW),176229,74840
Bega Valley,35770,18867
Bellingen,13203,6390
Berrigan,8615,4265
Blacktown,399925,133984
Bland,5544,3107
Blayney,7511,3246
Blue Mountains,78372,35239
Bogan,2480,1306
Bourke,2416,1317
Brewarrina,1487,740
Broken Hill,17662,9591
Burwood,40440,16201
Byron,36106,16996
Cabonne,13767,5895
Camden,120083,39601
Campbelltown (NSW),177778,63128
Canada Bay,89685,39121
Canterbury-Bankstown,372459,133438
Carrathool,2873,1312
Central Coast (NSW),348493,152870
Central Darling,1758,1065
Cessnock,64120,25812
Clarence Valley,54212,26143
Cobar,4098,2320
Coffs Harbour,78781,34696
Coolamon,4403,1974
Coonamble,3833,1825
Cootamundra-Gundagai Regional,11390,5510
Cowra,12759,6267
Cumberland,237083,83189
Dubbo Regional,55528,22823
Dungog,9532,4224
Edward River,8437,4252
Eurobodalla,40464,24600
Fairfield,209066,67658
Federation,12822,6546
Forbes,9385,4373
Georges River,152800,58429
Gilgandra,4318,2137
Glen Innes Severn,8925,4610
Goulburn Mulwaree,32150,14739
Greater Hume Shire,11109,4846
Griffith,27195,10833
Gunnedah,13088,5842
Gwydir,4912,2443
Hawkesbury,67605,25523
Hay,2885,1552
Hilltops,19223,9220
Hornsby,152263,55952
Hunters Hill,13596,5323
Inner West,183839,85462
Inverell,17920,8137
Junee,6454,2519
Kempsey,30828,14292
Kiama,22970,10785
Ku-ring-gai,124703,45894
Kyogle,9346,4688
Lachlan,6153,3014
Lake Macquarie,214054,88908
Lane Cove,39608,17340
Leeton,11480,4705
Lismore,44361,19781
Lithgow,20855,10236
Liverpool,234505,77895
Liverpool Plains,7608,3694
Lockhart,3328,1417
Maitland,90612,35456
Mid-Coast,96475,50474
Mid-Western Regional,25714,12262
Moree Plains,12964,6230
Mosman,28466,13410
Murray River,12785,6268
Murrumbidgee,3564,1647
Muswellbrook,16469,7333
Nambucca Valley,20382,10016
Narrabri,12808,5997
Narrandera,5733,2694
Narromine,6448,2851
Newcastle,169433,74585
North Sydney,69471,39034
Northern Beaches,264567,105115
Oberon,5567,2828
Orange,43750,18706
Parkes,14451,6697
Parramatta,258527,106654
Penrith,219239,81250
Port Macquarie-Hastings,86638,40066
Port Stephens,75328,35699
Queanbeyan-Palerang Regional,63404,26549
Randwick,135219,59965
Richmond Valley,23595,10692
Ryde,129813,55742
Shellharbour,76492,29884
Shoalhaven,108550,58799
Singleton,24725,9838
Snowy Monaro Regional,21667,12251
Snowy Valleys,14900,7075
Strathfield,45963,18287
Sutherland Shire,230994,90981
Sydney,214703,124114
Tamworth Regional,63670,27725
Temora,6013,2926
Tenterfield,6800,3968
The Hills Shire,192660,64080
Tweed,97216,44661
Upper Hunter Shire,14258,6793
Upper Lachlan Shire,8494,4584
Uralla,5992,2759
Wagga Wagga,67891,28244
Walcha,3019,1638
Walgett,5588,2865
Warren,2584,1228
Warrumbungle Shire,9256,4739
Waverley,69397,32850
Weddin,3592,1869
Wentworth,7490,3457
Willoughby,76044,31175
Wingecarribee,52489,23623
Wollondilly,54196,18918
Wollongong,214700,89476
Woollahra,53910,26588
Yass Valley,17240,6823
Unincorporated NSW,1020,549
Migratory - Offshore - Shipping (NSW),,34
Alpine,13166,7271
Ararat,11827,5509
Ballarat,113504,50347
Banyule,127370,53031
Bass Coast,40675,28981
Baw Baw,57618,24522
Bayside (Vic.),102328,43102
Benalla,14436,7211
Boroondara,169789,72924
Brimbank,196631,71871
Buloke,6132,3397
Campaspe,38556,17840
Cardinia,119573,43533
Casey,369558,122674
Central Goldfields,13388,7004
Colac Otway,22309,12460
Corangamite,16030,7897
Darebin,150296,68366
East Gippsland,48477,26078
Frankston,140824,58890
Gannawarra,10615,5326
Glen Eira,150638,66235
Glenelg,20058,10173
Golden Plains,24892,9408
Greater Bendigo,121272,53173
Greater Dandenong,160100,58198
Greater Geelong,270932,120823
Greater Shepparton,68526,28885
Hepburn,16485,9511
Hindmarsh,5656,3110
Hobsons Bay,92267,39336
Horsham,20376,9638
Hume,246920,83980
Indigo,17251,7750
Kingston (Vic.),159554,67622
Knox,160481,62012
Latrobe (Vic.),77117,35685
Loddon,7703,4323
Macedon Ranges,51599,20630
Manningham,125821,49918
Mansfield,10121,6619
Maribyrnong,86385,40501
Maroondah,116075,46937
Melbourne,153110,103368
Melton,181346,60363
Mildura,56966,25371
Mitchell,49712,19590
Moira,30367,14948
Monash,192893,76463
Moonee Valley,122950,55115
Moorabool,37910,15473
Moreland,,78310
Mornington Peninsula,170440,93602
Mount Alexander,20114,10141
Moyne,17296,8550
Murrindindi,15139,8349
Nillumbik,63450,22406
Northern Grampians,11886,6253
Port Phillip,103438,63301
Pyrenees,7619,3939
Queenscliffe,3236,2902
South Gippsland,30388,17145
Southern Grampians,16492,8292
Stonnington,106190,59609
Strathbogie,11368,6164
Surf Coast,37648,20678
Swan Hill,21381,9554
Towong,6186,3125
Wangaratta,29751,13677
Warrnambool,35433,16025
Wellington,45469,23554
West Wimmera,3978,2255
Whitehorse,171077,71712
Whittlesea,231831,82993
Wodonga,43207,18214
Wyndham,296322,100363
Yarra,91521,50059
Yarra Ranges,157421,61574
Yarriambiack,6510,3598
Unincorporated Vic,946,1054
Migratory - Offshore - Shipping (Vic.),,49
Aurukun,1130,343
Balonne,4378,2283
Banana,14657,7247
Barcaldine,2863,1896
Barcoo,312,267
Blackall Tambo,1918,1152
Boulia,470,307
Brisbane,1262968,519431
Bulloo,342,230
Bundaberg,100095,46081
Burdekin,16836,8259
Burke,430,546
Cairns,169250,72620
Carpentaria,2158,1639
Cassowary Coast,29511,15123
Central Highlands (Qld),28298,14180
Charters Towers,11920,5974
Cherbourg,1211,332
Cloncurry,3704,2123
Cook,4631,3163
Croydon,269,214
Diamantina,270,228
Doomadgee,1434,376
Douglas,12441,6981
Etheridge,724,750
Flinders (Qld),1521,992
Fraser Coast,112070,52621
Gladstone,64275,29868
Gold Coast,633598,270761
Goondiwindi,10400,4857
Gympie,53851,24767
Hinchinbrook,10990,6030
Hope Vale,998,348
