Crash_ID,Time_ID,Speed_ID,State_ID,Remoteness_ID,Road_type_ID,Crash_type_ID,Vehicle_ID,Holiday_ID,Month,Year,Dayweek,LGA_name,Number Fatalities
20241115,4,1,1,1,1,1,1,1,12,2024,Friday,Wagga Wagga,1
20241125,6,2,1,1,2,1,1,2,12,2024,Friday,Hawkesbury,1
20246013,9,3,2,1,2,2,1,1,12,2024,Friday,Northern Midlands,1
20241002,10,1,1,2,3,2,1,2,12,2024,Friday,Armidale Regional,1
20242261,11,4,3,0,4,2,2,2,12,2024,Friday,Unknown,1
20243185,13,1,4,1,3,2,1,2,12,2024,Friday,Lockyer Valley,1
20244016,13,1,5,2,5,1,1,1,12,2024,Friday,Wakefield,1
20245001,17,5,6,0,4,1,1,2,12,2024,Friday,Unknown,1
20243168,19,6,4,1,2,2,1,2,12,2024,Friday,Southern Downs,1
20246003,19,3,2,1,2,2,1,2,12,2024,Friday,Brighton,1
20246001,19,1,2,2,3,2,1,2,12,2024,Friday,West Tamar,1
20244081,22,3,5,2,2,1,1,2,12,2024,Friday,Mid Murray,1
20241087,23,7,1,3,3,1,1,2,12,2024,Friday,Blue Mountains,1
20241054,23,8,1,1,3,2,3,2,12,2024,Friday,Upper Lachlan,1
20244042,1,1,5,2,2,1,1,2,12,2024,Monday,Wattle Range,1
20242183,1,4,3,0,4,1,2,2,12,2024,Monday,Unknown,1
20242171,2,4,3,0,4,2,2,1,12,2024,Monday,Unknown,1
20243246,9,2,4,2,6,1,1,2,12,2024,Monday,Cairns,1
20248007,10,4,7,3,2,1,1,1,12,2024,Monday,Unincorporated ACT,1
20241101,10,6,1,3,3,1,3,2,12,2024,Monday,Wollongong,1
20241216,12,6,1,3,6,1,1,1,12,2024,Monday,Penrith,1
20241300,13,1,1,2,3,2,1,2,12,2024,Monday,Upper Hunter,1
20243007,14,1,4,2,3,2,1,1,12,2024,Monday,South Burnett,1
20241278,14,1,1,2,1,1,1,2,12,2024,Monday,Mid-Western Regional,1
20245005,15,8,6,0,4,1,1,1,12,2024,Monday,Unknown,1
20241149,16,9,1,3,6,1,1,2,12,2024,Monday,Canterbury-Bankstown,1
20247029,19,4,8,0,4,1,1,1,12,2024,Monday,Unknown,1
20242156,20,4,3,0,4,1,2,1,12,2024,Monday,Unknown,1
20245143,21,6,6,0,4,1,1,1,12,2024,Monday,Unknown,1
20245039,21,8,6,0,4,1,1,1,12,2024,Monday,Unknown,2
20242087,2,1,3,1,3,1,2,2,12,2024,Saturday,Mitchell,1
20241068,3,8,1,2,3,2,4,2,12,2024,Saturday,Greater Hume,1
20243273,4,1,4,2,2,1,1,2,12,2024,Saturday,Southern Downs,1
20242141,4,4,3,0,4,2,2,2,12,2024,Saturday,Unknown,1
20245045,4,2,6,0,4,1,1,2,12,2024,Saturday,Unknown,1
20245093,8,6,6,0,4,1,1,2,12,2024,Saturday,Unknown,1
20244020,10,1,5,1,5,2,1,2,12,2024,Saturday,Barossa,1
20244055,10,8,5,2,3,2,1,1,12,2024,Saturday,Wattle Range,2
20242095,11,4,3,0,4,1,2,2,12,2024,Saturday,Unknown,1
20245100,11,8,6,0,4,1,5,2,12,2024,Saturday,Unknown,1
20241094,12,3,1,1,3,2,1,1,12,2024,Saturday,Port Macquarie-Hastings,1
20243209,14,3,4,2,2,2,1,1,12,2024,Saturday,Douglas,1
20243160,14,1,4,2,3,2,1,1,12,2024,Saturday,Mackay,2
20244001,14,1,5,1,1,2,1,1,12,2024,Saturday,Yankalilla,1
20243243,15,7,4,3,5,2,5,2,12,2024,Saturday,Logan,1
20245119,15,2,6,0,4,1,1,2,12,2024,Saturday,Unknown,1
20246016,15,1,2,2,3,1,1,2,12,2024,Saturday,Dorset,1
20241119,15,1,1,1,2,2,1,2,12,2024,Saturday,Armidale Regional,2
20245133,16,8,6,0,4,1,1,2,12,2024,Saturday,Unknown,1
20245069,20,6,6,0,4,1,1,2,12,2024,Saturday,Unknown,1
20241169,21,2,1,1,3,1,1,2,12,2024,Saturday,Nambucca Valley,1
20245161,22,7,6,0,4,1,1,2,12,2024,Saturday,Unknown,1
20241291,2,8,1,2,3,2,3,2,12,2024,Sunday,Narromine,1
20243036,4,1,4,1,2,1,1,2,12,2024,Sunday,Fraser Coast,1
20244026,6,3,5,4,2,1,1,2,12,2024,Sunday,Unincorporated SA,1
20241077,8,3,1,3,6,1,1,2,12,2024,Sunday,Shellharbour,1
20241028,8,3,1,3,6,2,1,2,12,2024,Sunday,Wollongong,1
20241022,11,1,1,2,5,1,1,2,12,2024,Sunday,Narrabri,1
20243015,12,6,4,1,2,2,1,2,12,2024,Sunday,Logan,1
20245068,12,10,6,0,4,1,1,2,12,2024,Sunday,Unknown,1
20242229,12,4,3,0,4,1,2,2,12,2024,Sunday,Unknown,1
20244023,12,1,5,1,5,1,1,2,12,2024,Sunday,Barossa,1
20241098,12,5,1,1,5,1,1,2,12,2024,Sunday,Nambucca Valley,1
20243114,13,1,4,5,5,1,1,2,12,2024,Sunday,Cook,2
20245092,13,2,6,0,4,1,1,2,12,2024,Sunday,Unknown,1
20241040,14,1,1,2,3,2,1,2,12,2024,Sunday,Tenterfield,1
20242188,14,1,3,1,5,1,2,1,12,2024,Sunday,Greater Bendigo,1
20241174,14,6,1,3,1,2,1,2,12,2024,Sunday,Central Coast,1
20241088,16,1,1,2,1,2,1,2,12,2024,Sunday,Tamworth Regional,1
20245031,17,2,6,0,4,1,1,2,12,2024,Sunday,Unknown,1
20242136,17,1,3,3,1,2,6,2,12,2024,Sunday,Whittlesea,1
20241255,18,1,1,1,1,2,1,2,12,2024,Sunday,Hilltops,1
20242227,18,4,3,0,4,1,2,2,12,2024,Sunday,Unknown,1
20241053,22,1,1,2,1,1,1,2,12,2024,Sunday,Forbes,2
20243046,23,6,4,1,6,1,1,2,12,2024,Sunday,Toowoomba,2
20245107,23,7,6,0,4,1,1,2,12,2024,Sunday,Unknown,1
20241080,1,6,1,3,1,1,1,2,12,2024,Thursday,Lake Macquarie,1
20242006,9,4,3,0,4,2,2,2,12,2024,Thursday,Unknown,1
20245130,9,8,6,0,4,1,1,1,12,2024,Thursday,Unknown,1
20243044,12,1,4,5,3,2,3,2,12,2024,Thursday,Livingstone,1
20246009,12,6,2,2,5,2,1,1,12,2024,Thursday,Northern Midlands,1
20241274,15,1,1,3,3,2,1,2,12,2024,Thursday,Blacktown,1
20242073,16,4,3,0,4,2,2,2,12,2024,Thursday,Unknown,1
20241240,17,6,1,1,3,1,1,2,12,2024,Thursday,Dubbo Regional,1
20242035,22,4,3,0,4,1,2,2,12,2024,Thursday,Unknown,1
20243176,4,6,4,2,6,1,1,1,12,2024,Tuesday,Cairns,1
20245006,6,6,6,0,4,1,1,2,12,2024,Tuesday,Unknown,1
20241181,8,8,1,2,3,1,3,1,12,2024,Tuesday,Balranald,1
20243110,11,6,4,4,2,1,1,1,12,2024,Tuesday,Lockhart River,1
