fatality_id,Crash_ID,Road_User,Gender,Age,Age_Group
1,20241115,Driver,Male,74,65_to_74
2,20241125,Driver,Female,19,17_to_25
3,20246013,Driver,Female,33,26_to_39
4,20241002,Driver,Female,32,26_to_39
5,20242261,Passenger,Male,62,40_to_64
6,20243185,Passenger,Female,61,40_to_64
7,20244016,Motorcycle rider,Male,47,40_to_64
8,20245001,Driver,Male,69,65_to_74
9,20243168,Passenger,Female,29,26_to_39
10,20246003,Motorcycle rider,Male,19,17_to_25
11,20246001,Driver,Female,55,40_to_64
12,20244081,Driver,Female,45,40_to_64
13,20241087,Pedestrian,Male,50,40_to_64
14,20241054,Driver,Male,45,40_to_64
15,20244042,Driver,Male,61,40_to_64
16,20242183,Driver,Male,29,26_to_39
17,20242171,Driver,Male,33,26_to_39
18,20243246,Pedestrian,Male,74,65_to_74
19,20248007,Driver,Female,75,75_or_older
20,20241101,Driver,Male,25,17_to_25
21,20241216,Pedestrian,Male,4,0_to_16
22,20241300,Driver,Male,27,26_to_39
23,20243007,Driver,Male,66,65_to_74
24,20241278,Driver,Male,27,26_to_39
25,20245005,Driver,Female,26,26_to_39
26,20241149,Pedestrian,Female,65,65_to_74
27,20247029,Pedestrian,Female,60,40_to_64
28,20242156,Motorcycle rider,Male,18,17_to_25
29,20245143,Pedestrian,Male,33,26_to_39
30,20245039,Driver,Female,41,40_to_64
31,20245039,Driver,Female,45,40_to_64
32,20242087,Driver,Male,42,40_to_64
33,20241068,Driver,Male,32,26_to_39
34,20243273,Driver,Male,25,17_to_25
35,20242141,Driver,Male,22,17_to_25
36,20245045,Passenger,Male,21,17_to_25
37,20245093,Driver,Male,38,26_to_39
38,20244020,Motorcycle rider,Male,69,65_to_74
39,20244055,Driver,Female,59,40_to_64
40,20244055,Passenger,Female,68,65_to_74
41,20242095,Driver,Male,66,65_to_74
42,20245100,Driver,Female,51,40_to_64
43,20241094,Motorcycle rider,Male,69,65_to_74
44,20243160,Passenger,Female,68,65_to_74
45,20243160,Driver,Male,76,75_or_older
