Location_ID,LGA_Name,Population_2021,Dwelling_Count_2021
1,Wagga Wagga,67891,28244
2,Hawkesbury,67605,25523
3,Northern Midlands,14022,6444
4,Armidale Regional,,12955
5,,,
6,Lockyer Valley,41750,16162
7,Wakefield,6925,3348
8,,,
9,Southern Downs,36637,17447
10,Brighton,19261,7530
11,West Tamar,25717,11308
12,Mid Murray,9355,7413
13,Blue Mountains,78372,35239
14,Upper Lachlan,8494,
15,Wattle Range,12127,6114
16,Cairns,169250,72620
17,Unincorporated ACT,452508,187156
18,Wollongong,214700,89476
19,Penrith,219239,81250
20,Upper Hunter,14258,
21,South Burnett,33323,16096
22,Mid-Western Regional,,12262
23,Canterbury-Bankstown,372459,133438
24,,,
25,Mitchell,49712,19590
26,Greater Hume,11109,
27,Southern Downs,36637,17447
28,Barossa,25565,11044
29,Port Macquarie-Hastings,86638,40066
30,Douglas,12441,6981
31,Mackay,123148,52308
32,Yankalilla,5931,4403
33,Logan,350673,125977
34,Dorset,6983,3948
35,Armidale Regional,,12955
36,Nambucca Valley,20382,10016
37,Narromine,6448,2851
38,Fraser Coast,112070,52621
39,Unincorporated SA,3100,2910
40,Shellharbour,76492,29884
41,Narrabri,12808,5997
42,Logan,350673,125977
43,Cook,4631,3163
44,Tenterfield,6800,3968
45,Greater Bendigo,121272,53173
46,Central Coast,,
47,Tamworth Regional,,27725
48,Whittlesea,231831,82993
49,Hilltops,19223,9220
50,Forbes,9385,4373
51,Toowoomba,175255,74054
52,Lake Macquarie,214054,88908
53,Livingstone,39877,17841
54,Northern Midlands,14022,6444
55,Blacktown,399925,133984
56,Dubbo Regional,,22823
57,Balranald,2208,1091
58,Lockhart River,653,228
59,Golden Plains,24892,9408
60,Light,16083,6046
61,Ipswich,233314,87352
62,Cassowary Coast,29511,15123
63,Tumby Bay,2875,1681
64,Liverpool,234505,77895
65,Cumberland,237083,83189
66,Muswellbrook,16469,7333
67,Moreton Bay,484353,188327
68,Ballina,46196,20889
69,Kyogle,9346,4688
70,Bundaberg,100095,46081
71,Melbourne,153110,103368
72,Brisbane,1262968,519431
73,Snowy Valleys,14900,7075
74,Whitsunday,37642,18043
75,Fairfield,209066,67658
76,Yass Valley,17240,6823
77,Central Highlands (Qld),28298,14180
78,The Hills,192660,
79,Salisbury,147521,57117
80,Port Stephens,75328,35699
81,Macedon Ranges,51599,20630
82,Moyne,17296,8550
83,Cardinia,119573,43533
84,East Gippsland,48477,26078
85,Hornsby,152263,55952
86,Mareeba,23171,10199
87,Rockhampton,82882,35813
88,Mid-Coast,96475,50474
89,Ipswich,233314,87352
90,Glenelg,20058,10173
91,Western Downs,34351,16165
92,Port Adelaide Enfield,134131,56716
93,Cabonne,13767,5895
94,Gold Coast,633598,270761
95,Frankston,140824,58890
96,Moree Plains,12964,6230
97,Parramatta,258527,106654
98,Meander Valley,21139,9276
99,Queanbeyan-Palerang Regional,,26549
100,Snowy Monaro Regional,,12251
101,Federation,12822,6546
102,,,
103,Brisbane,1262968,519431
104,Cowra,12759,6267
105,Goulburn Mulwaree,32150,14739
106,Gympie,53851,24767
107,Moreton Bay,484353,188327
108,Willoughby,76044,31175
109,Shoalhaven,108550,58799
110,Queanbeyan-Palerang Regional,,26549
111,Nillumbik,63450,22406
112,Wollongong,214700,89476
113,South Burnett,33323,16096
114,Tatiara,7070,3194
115,Tweed,97216,44661
116,Mid-Coast,96475,50474
117,Ararat,11827,5509
118,Colac Otway,22309,12460
119,McKinlay,838,497
120,Singleton,24725,9838
121,Gladstone,64275,29868
122,Lithgow,20855,10236
123,Campbelltown,,
124,Sunshine Coast,346634,149005
125,Warrumbungle,9256,
126,Noosa,56874,28715
127,Port Stephens,75328,35699
128,Moreton Bay,484353,188327
129,Gawler,25300,11126
130,Alpine,13166,7271
131,Cabonne,13767,5895
132,Brisbane,1262968,519431
133,Baw Baw,57618,24522
134,Isaac,22419,11014
135,Maranoa,12957,6510
136,Southern Grampians,16492,8292
137,Cessnock,64120,25812
138,Scenic Rim,43592,18468
139,Somerset,25388,11020
140,Hinchinbrook,10990,6030
141,Mackay,123148,52308
142,Stonnington,106190,59609
143,Playford,100556,39505
144,Cobar,4098,2320
145,Ararat,11827,5509
146,Adelaide Hills,41237,16270
147,Bega Valley,35770,18867
148,Tea Tree Gully,102044,41034
149,Kiama,22970,10785
150,Moyne,17296,8550
151,Wollondilly,54196,18918
152,Scenic Rim,43592,18468
153,Casey,369558,122674
154,Northern Areas,4659,2424
155,Tablelands,26488,13184
156,Sydney,214703,124114
157,Murrindindi,15139,8349
158,Albury,56067,25430
159,Boroondara,169789,72924
160,Redland,161709,65216
161,Playford,100556,39505
162,South Gippsland,30388,17145
163,Hinchinbrook,10990,6030
164,Yarra Ranges,157421,61574
165,Surf Coast,37648,20678
166,Mount Barker,39632,16054
167,Brisbane,1262968,519431
168,Cessnock,64120,25812
169,Maitland,90612,35456
170,Hobart,55947,24864
171,Mitcham,68162,27169
172,Clarence Valley,54212,26143
173,Adelaide,25522,14766
174,Clarence,62336,25894
175,Lismore,44361,19781
176,Greater Shepparton,68526,28885
177,Moreland,,78310
178,Narrandera,5733,2694
179,Huon Valley,18797,8767
